solver,benchType,nodes,dims,file,buildTime,insertTime,deleteTime,queryTime,aveDeep,aveQueryVisNodeNum,rangeCountTime,rangeQueryTime
test,ss_varden,10000000,3,1.in,0.040764,0.080659,0.0908217,0.676249,29.4156,96.694,0.267666,1.81872
test,ss_varden,10000000,3,2.in,0.0413577,0.080344,0.0858183,0.678199,29.4702,98.0631,0.078994,0.964113
test,ss_varden,50000000,3,1.in,0.171007,0.421016,0.337935,3.44864,31.4565,102.695,7.37569,15.3227
test,ss_varden,50000000,3,2.in,0.172705,0.440519,0.340513,3.4438,31.4949,100.864,5.93556,12.8255
test,ss_varden,100000000,3,1.in,0.347019,0.789551,0.634095,7.13075,33.8314,107.799,14.0281,28.6855
test,ss_varden,100000000,3,2.in,0.349983,0.810524,0.639869,7.21592,33.6958,108.519,2.10132,5.9352
test,ss_varden,500000000,3,1.in,2.25509,3.92658,3.11466,37.9551,42.108,124.291,71.1446,164.199
test,ss_varden,500000000,3,2.in,2.42613,3.83681,3.24347,37.3299,40.8377,119.246,23.9842,68.8278
test,uniform,10000000,3,1.in,0.0361617,0.03827,0.038291,0.748071,39.3423,133.367,0.645962,1.62018
test,uniform,10000000,3,2.in,0.0349987,0.039506,0.0415293,0.748906,39.1673,133.045,0.669278,1.69593
test,uniform,50000000,3,1.in,0.154766,0.189686,0.168444,3.76258,44.664,136.819,3.60443,8.77152
test,uniform,50000000,3,2.in,0.158288,0.194356,0.173672,3.76869,44.5669,136.639,3.42218,8.30834
test,uniform,100000000,3,1.in,0.326604,0.375454,0.354536,7.72482,46.5809,141.446,7.01997,17.2515
test,uniform,100000000,3,2.in,0.326321,0.371308,0.340504,7.71973,46.5459,141.417,7.36674,17.9745
test,uniform,500000000,3,1.in,1.90408,2.03699,2.06942,38.8476,51.1591,142.723,39.8845,95.7695
test,uniform,500000000,3,2.in,1.98321,2.07259,2.08298,38.8384,51.1909,142.769,40.3371,95.977
zdtree,ss_varden,10000000,3,1.in,0.0477007,0.0635773,0.0351513,2.01471,-1,-1,0.889033,11232.5
zdtree,ss_varden,10000000,3,2.in,0.0472697,0.0600273,0.034114,1.7062,-1,-1,0.302267,3776.31
zdtree,ss_varden,50000000,3,1.in,0.242145,0.292179,0.210811,7.20151,-1,-1,26.3227,55626.2
zdtree,ss_varden,50000000,3,2.in,0.24289,0.295995,0.222085,7.32865,-1,-1,23.0916,47857.7
zdtree,ss_varden,100000000,3,1.in,0.484271,0.623623,0.510719,14.3982,-1,-1,51.3119,52885.7
zdtree,ss_varden,100000000,3,2.in,0.490696,0.60267,0.494169,14.6365,-1,-1,7.9869,408467
zdtree,ss_varden,500000000,3,1.in,2.47225,3.41094,3.07351,76.8711,-1,-1,230.616,-1
zdtree,ss_varden,500000000,3,2.in,2.45912,3.3009,3.00557,75.753,-1,-1,77.0556,-1
zdtree,uniform,10000000,3,1.in,0.0506853,0.0662957,0.0653173,1.72308,-1,-1,2.23507,6027.48
zdtree,uniform,10000000,3,2.in,0.0505727,0.068479,0.066014,1.72403,-1,-1,2.72433,7579.81
zdtree,uniform,50000000,3,1.in,0.257516,0.344196,0.330131,8.30444,-1,-1,11.3212,99939.2
zdtree,uniform,50000000,3,2.in,0.25545,0.339533,0.342875,8.32336,-1,-1,11.7645,76362.4
zdtree,uniform,100000000,3,1.in,0.517414,0.733265,0.699415,17.6231,-1,-1,23.5555,429398
zdtree,uniform,100000000,3,2.in,0.519062,0.693069,0.678767,17.6285,-1,-1,30.477,207018
zdtree,uniform,500000000,3,1.in,2.65152,3.7149,3.59052,87.4088,-1,-1,75.0277,-1
zdtree,uniform,500000000,3,2.in,2.63532,3.62324,3.51241,87.4537,-1,-1,155.696,-1
cgal,ss_varden,10000000,3,1.in,3.63669,10.5776,2.72501,1.266,-1,-1,128.2,128.51
cgal,ss_varden,10000000,3,2.in,3.65788,9.38436,2.43841,1.27363,-1,-1,79.7698,79.8874
cgal,ss_varden,50000000,3,1.in,19.2741,49.0029,22.098,6.53179,-1,-1,18.3826,18.3462
cgal,ss_varden,50000000,3,2.in,17.2971,52.2258,26.0636,6.44971,-1,-1,35.1042,35.0594
cgal,ss_varden,100000000,3,1.in,33.9904,109.838,67.5938,13.3245,-1,-1,9.90471,9.89535
cgal,ss_varden,100000000,3,2.in,35.0753,106.259,63.8635,13.7003,-1,-1,327.23,327.261
cgal,ss_varden,500000000,3,1.in,193.631,643.575,819.73,75.4066,-1,-1,3053.25,3047.09
cgal,ss_varden,500000000,3,2.in,170.725,580.905,989.498,72.0112,-1,-1,3815.07,3800.39
cgal,uniform,10000000,3,1.in,9.0816,19.8038,22.8073,7.57117,-1,-1,56.7757,56.7827
cgal,uniform,10000000,3,2.in,9.11803,19.7556,22.79,7.65476,-1,-1,60.4119,60.2501
cgal,uniform,50000000,3,1.in,42.9863,108.402,163.63,43.117,-1,-1,300.831,301.303
cgal,uniform,50000000,3,2.in,44.3584,105.446,167.293,43.5642,-1,-1,295.923,295.436
cgal,uniform,100000000,3,1.in,95.2129,213.717,406.609,97.2381,-1,-1,666.591,612.331
cgal,uniform,100000000,3,2.in,105.427,219.99,399.688,96.191,-1,-1,634.464,632.935
cgal,uniform,500000000,3,1.in,543.355,1358.85,3325.33,568.198,-1,-1,3397.09,3245.13
cgal,uniform,500000000,3,2.in,552.377,1296.69,3351.92,558.927,-1,-1,2975.46,2818.15
